,AF,AL,DZ,AO,AG,AR,AM,AZ,BD,BY,BZ,BJ,BT,BO,BA,BW,BR,BF,BI,KH,CM,CV,CF,TD,CL,CN,CO,KM,CD,CG,CR,CI,CU,DJ,DM,DO,EC,EG,SV,GQ,ER,ET,FJ,GA,GM,GE,GH,GD,GT,GN,GW,GY,HT,HN,IN,ID,IR,IQ,JM,JO,KZ,KE,KI,KP,KR,KG,LA,LB,LS,LR,LY,MK,MG,MW,MY,MV,ML,MR,MU,MX,FM,MD,MN,ME,MA,MZ,MM,NA,NP,NI,NE,NG,PK,PA,PG,PY,PE,PH,RW,WS,ST,SN,RS,SC,SL,SB,SO,ZA,SS,LK,LC,SD,SR,SZ,SY,TJ,TZ,TH,TL,TG,TO,TN,TR,TM,TV,UG,UA,UY,UZ,VU,VE,VN,YE,ZM,ZW
IT,55.27,40.42,6.11,-0.6,0,5.07,0.53,0.03,2.02,0.12,0,1.2,0,9.94,5.19,0,7.86,4.87,2.67,1.46,3.89,0.53,0.53,1.2,-0.36,-33.04,3.01,1.3,576.89,0.04,-0.15,1.22,0.8,0.47,1.01,1.47,2.48,14.47,4.15,0,1.9,24.76,0,0.02,0.15,0.11,16.25,0,4.87,0.14,0.78,0,2.78,2.67,12.47,-13.4,0.1,6.67,-0.29,4.62,0.03,27.54,0,0.43,3.05,0.01,0.32,19.06,0,0.19,6.99,0,4.82,1.54,0.07,0,1.77,2.22,0,0.98,0,0.37,0.12,0.29,15.67,23.4,3.22,0.54,0.39,1.47,0.52,1.23,26.78,0.01,0.29,0.34,10.83,1.7,1.01,0,0.06,7.28,18.63,0,1.17,0,18.58,9.03,0.18,2.16,0,17.82,0,0.35,-1.02,0.27,6.72,0.81,0.01,0.94,0,2.94,-3.8,0,0,9.29,0.32,0.89,0.03,0,1.26,3.98,1.34,0.83,1.17
JP,750.34,5.85,1.43,11.42,9.64,8.73,7.41,105.47,67.91,0.08,1.22,26.18,31.88,38.86,1.51,-0.09,152.63,40.3,21.2,130.93,23.68,26.54,38.25,20.82,3.64,-481.32,2.42,3.66,186.74,7.21,-3.12,8.17,4.73,16.57,3.4,-6.17,-10.29,-91.29,-8.65,0.32,9.44,119.7,18.76,10.96,11.45,4.71,45.94,8.49,15.23,1.98,9.78,0.85,22.24,10.76,796.37,-633.71,-15.37,370.21,-22.63,-103.86,-21.51,79.74,3.84,0,1.88,29.9,48.51,6.69,20.23,44.55,8.18,3.75,10.7,28.64,-21.01,4.55,44.06,9.99,-2.44,-51.99,28.39,8.1,75.63,4.67,30.11,48.49,42.5,25.21,63.47,19.8,15.86,38.57,528.47,62.9,11.34,-23.92,75.27,-566.89,24.28,17.39,3.54,82.83,9.17,1.24,26.53,24.11,51.97,8.11,25.56,168.05,2.02,96.72,0.03,12.55,-34.27,35.28,119.44,-184.01,26.71,9.26,18.61,24.97,25.66,-1.75,14.13,57.12,111.3,0.51,-3.64,7.39,3.43,1013.05,12.58,46.08,18.1
KR,27.99,0.07,3.87,16.75,0.02,0.11,1.49,11.29,80.02,0.25,0.11,0.13,0.84,1.35,14.22,0,0.8,0.71,0.21,62.23,4.3,0,0.28,0.56,0.21,-1.02,8.17,0,5.99,0.15,0.23,1.03,0.04,0.39,0.01,3.05,16.85,3.8,4.93,0.29,0.01,11.61,0.82,0.62,0.06,0.16,5.06,0.01,4.88,0.25,0.12,0,0.97,4.75,1.13,24.29,0.36,5.29,0.03,29.32,2.02,9.29,0.64,0,0,1.21,33.48,1.58,0.18,0.1,2.3,0,7.61,1.2,1.85,0.48,12.93,0.1,0.04,0.53,0.03,0.26,30.5,0,7.51,6.48,6.73,0.06,20.97,3.95,0.59,2.21,11.74,-0.08,0.68,5.71,6.79,35.69,5.82,0.16,0.01,8.71,0.2,0.02,0.21,0.3,0.1,0.56,0.03,43.36,0.01,0.89,0.01,0.17,0.02,0.74,20.94,6.47,7.02,0.2,0.53,2.21,1.04,0.68,0.19,2.41,1.36,0.29,21.99,0.07,0.16,139.49,1.16,0.17,0.79
LU,3.47,0.04,0,0,0,0.17,0.1,0.1,1.67,0.01,0,1.45,0,1.24,0,0,2.85,16.92,1.14,0.2,0.45,15.21,0.5,0.07,0.68,0.23,2.25,0.11,2.29,0.28,0.12,0.32,0.21,0,0.01,0,0.23,0.17,7.76,0,0,1.4,0,0.08,0.16,0,0.17,0,0.58,0.6,0.42,0,2.35,0.18,3.09,0.6,0,0.46,0,0,0.05,0.54,0,0.7,6.89,0.02,16.53,1.1,0.28,0.3,0,0,0.62,0.11,0,0,24.65,0,0.12,0,0,0.27,2.85,2.83,0,0.11,0.19,6.97,1.02,12.15,6.87,0,1.89,0,0,0.14,1.16,1.35,5.52,0,0,13.95,1.27,0,0.15,0,1.39,0.38,0,0.41,0,3.08,0,0.42,0,0.57,0.02,0.67,0,0.9,0,0.13,0.28,0,0,0.79,0,0.04,0.28,0.03,0,8.77,0.42,0,0
NL,108.48,0.38,0.05,-2.96,0,0.05,0.86,0,77.75,0,0,27.81,2.78,53.65,10.72,0,0.24,53.88,19.64,0.25,0,2.39,0,4.87,0.13,2.15,25.07,0,18.28,0,0.22,8.92,0.08,0,0,0.13,0.4,10.06,0.15,0,0.12,67.9,0,0,0,0.68,63.14,0,18.57,0.09,0,0,13.87,0.09,0.97,24.58,0,3.39,-0.66,1.2,0.26,34.82,0,0.1,1.58,0.04,0,0.94,0,1.39,4.09,1.56,0,0.03,0.01,0,59.44,0,0,0.11,0,4,6.26,1.62,1.61,73,2.95,1.81,0.3,20.61,0.13,21.49,30.69,0.13,0,0,0.99,0.27,47.46,0,0,26.88,1.32,0,0.21,0,27.89,32.54,24.4,1.32,0,45.38,47.67,0,0.04,0.6,66.82,0.09,0,0,0,0.78,-0.09,0,0,14.86,0.03,0,0,0,0,18.48,10.66,21.88,14.41
NZ,5.93,0,0,0,0,0.14,0,0,1.16,0,0.02,0,0,0,0,0,0.27,0,0,2.88,0,0,0,0,0.98,1.05,0.11,0,0,0,0,1.13,0,0,0.01,0,0.34,0.47,0.04,0,0,0.19,3.94,0,0.01,0,0.4,0,0.15,0,0,0,0,0.03,0.88,15.28,0,0,0.07,0,0,1.47,12.9,0,0,0,2.45,0.69,0,0,0.79,0,0,0.15,0,0.48,0,0,0.01,0.12,0.05,0,0.56,0,0,0,1.27,0,1.62,0.06,0,0,1.18,0,25.73,0.03,0.1,4.8,0,11.71,0,0,0,0.05,0,21.16,2.55,0.57,0.79,1.11,0.07,0,0,0.19,0,0,0.72,0.12,7.93,0,14.7,0,0.2,0,3.9,0,0,0.08,0,13.57,0,6.72,0,1.84,0.67
NO,138.68,2.76,0.9,13.05,0,0.05,3.07,3.37,16.98,3.7,0,0.01,2.74,5.82,14.87,0.5,250.97,0.76,17.33,9.03,0.5,0.02,0,-0.01,-11.9,23.49,12.22,0,31.82,0.19,2.4,7.43,1.52,0,0,0.29,2.9,1.87,2.1,0,8.07,29.09,0,0,0.29,10.11,8.05,0,11.06,0,0,39.07,24.12,1.53,29.35,11.91,2.35,8.13,0,3.18,2.93,19.74,0,3.57,19.07,3.34,9.43,12.2,1.03,35.11,14.51,7.02,12.76,66.85,0.84,0.06,13.3,0.64,0.71,8.19,0,6.16,1.6,2.85,0.09,84.14,19.9,2.33,49.4,18.21,1.82,11.83,32.83,6.93,1.75,1.27,3.56,11.13,3.39,0,0,0.31,19.83,0,3.52,0.01,84.2,38.17,60.27,25.79,0,46.96,0,1.79,1.18,5.26,114.26,1.68,8.17,0.26,0,0,2.17,0.58,0,80.97,8.22,0.03,0.29,0,0.15,43.12,1.51,79.13,22.56
PT,2.1,0,0.01,-7.49,0,0.1,0,0,0,0,0,0.01,0,0,0.14,0.09,8.25,0,0,0,0,146.73,0,0,0.09,5.59,0.07,0,0.03,0,0,0.09,0.17,0,0,0,0,0.09,0.07,0.01,0,0.02,0,0,0,0.1,0,0,0,0.13,13.67,0,0.47,0,0.46,0.41,0.01,0,0,0,0,0,0,0,0.42,0.01,0,0,0,0,0,0.02,0,0,0.06,0,0,0,0,0.09,0,0.01,0,0,0.28,219.19,0,0.11,0,0,0,0.11,0,0,0,0,0.02,0,0.66,0,29.13,0.38,0.14,0,0.02,0,0,0.07,0,0,0,0.01,0,0,0,0,0,0.1,27.65,0,0,0.01,0.06,0,0,0,0.01,0.09,0,0,0.09,0.03,0,0,0.06
ES,57.62,-0.53,-0.61,2.71,0.21,2.52,0.13,0.05,4,0.18,0.05,1.22,0.01,51.38,36.4,0,21.1,3.03,0.2,21.15,4.17,15.46,1.43,9.93,8.22,-22.11,49.39,0,30.32,0.52,4.58,0.22,19.65,0.75,0.04,51.28,21.98,16.25,44.56,15.35,0.03,38.82,0,0.1,5.72,0.11,5.2,0,45.92,2.59,6.35,0.04,92.57,15,7.83,-16.06,0.3,0.31,0.25,7.08,-2.06,10.27,0,0,0.73,0.08,0,24.75,0,0.84,9.83,0.05,0.16,0.7,0.24,0,20.78,35.14,0.03,-21.75,0,0.04,0,0.01,36.83,41.28,0,4.31,0.22,64.61,27.84,0.2,5.74,2.54,0,16.34,61.16,19.8,1.73,0,1.59,36.84,-2.38,1.66,0.72,0,16.05,0.36,0,-0.61,0.02,31.79,0,0,3.81,0.07,5.45,1.15,5.69,26.5,0,82.86,4.82,0,0,2.32,0.32,5.55,1.27,0.04,0.46,10.47,2.12,0.06,5.31
SE,114.98,13.25,1.08,1.4,0,0.12,0.7,0.84,33.72,21.46,0,0.35,0,35.14,30,2.11,2.05,37.64,6.61,28.53,1.76,0,10.24,12.03,0.14,9.98,34.44,0,238.59,0.12,0.37,5.3,-0.12,0,0,0.3,0.26,5.6,1.41,0,1.03,40.67,0.06,0,0.68,19.25,0.07,0,30.54,1.13,0.03,0,19.15,1.41,12.2,6.2,0.96,35.38,0,1.73,0.09,76.85,0,7.5,22.96,2.62,2.64,3.45,0.07,49.84,14.56,3.57,1.64,1.84,1.36,0,33.18,1.41,0,0,0,18.26,0.09,0.35,0,108.81,18.82,4.86,1.84,3.06,7.69,0.19,21.59,-0.01,0,1.1,1.44,4.66,33.25,0.03,0,2.04,22.99,0,0.8,0,63.51,15.57,10.01,12.95,0,86.79,0,0.04,4.52,0.24,125.15,9.62,4.7,14.23,0,7.76,14.25,0.06,0,41.16,41.66,0.13,0.83,0,0,15.66,14.49,33.22,38.58
CH,23.76,12.66,2.68,0.59,0,0.36,3.72,5.84,32.66,0.3,0,12.15,4.39,29.71,27.43,0,4.02,30.15,15.26,5.41,1.86,1.19,2.12,13.2,0.95,10.75,20.62,0,13.44,0.47,0.3,7.02,4.15,0.7,0,0.01,2.83,11.85,1.96,0.06,0.59,11.34,0,0,0,9.36,17.05,0,3.77,2.76,0.84,0,17.38,9.91,11.1,11.11,0.26,4.2,0,4.96,0.12,11.26,0,9.46,59.54,23.11,24.58,6.71,0.52,11.53,5.15,7.65,6.75,0.2,0.01,0,25.79,0.23,0,0.58,0.03,9.13,15.2,0.01,4.62,30.91,11.37,0.67,40.38,22.26,19.22,1.91,18.79,0,0,0.32,21.62,1.23,4.21,0,0,2.44,15.46,0,0.53,0,22.42,7.8,7.93,10.78,0,15.13,0,0.23,4.07,14.53,28.94,3.29,0,75.95,0,10.96,0.57,0,0,1.4,11.6,0.02,2.18,0,0.01,21.27,7.07,0.62,13.95
GB,423.42,0.68,1.44,0.69,0,1.19,0.36,0.96,368.62,0.12,0.52,0.07,0,0.14,4.79,1.56,49.37,0.82,17.72,6.1,0.82,0.03,0,0.38,0.55,64.86,4.36,0.12,383.05,0,0.31,10.74,0.27,0.02,0.03,0.15,0.22,17.42,0.01,0,8.37,552.25,0.21,0.2,8.82,3.19,130.46,0,0.09,0.28,0.07,0.59,15.57,0.02,453.85,-6.82,0.43,13.38,10.33,2.65,2.73,142.02,0.03,0.61,12.19,11.9,1.61,2.64,1.85,31.51,16.87,0.99,0.81,104.06,7.16,0.27,0.01,1.45,13.54,5.76,0,2.43,0.18,0.33,4.38,186.4,62.2,-0.72,104.07,0.03,0.59,298.86,331.59,0.2,-0.32,0.05,0.6,2.07,135.57,0.41,0,1.99,2.43,0.07,73.56,0.19,152.14,46.61,83,4.22,0.37,157.34,0,0.03,2.03,16.5,158.92,-7.62,0.07,1.92,0.03,6,5.51,0.15,0.05,142.98,1.33,0.1,0.84,0.11,0.78,35,62.61,92.59,77.52
US,2901.22,25.47,9.14,66.54,0.18,8.59,90.52,30.15,117.14,17.75,2.76,190.1,2.66,90.4,37.97,78.48,38.55,67.33,51.82,73.78,20.12,9.92,11.91,113.87,3.89,52.54,602.22,0.37,1293.2,1.74,10.26,74.31,12.81,16.53,0,27.2,42.08,-99.38,165.21,0.05,0.07,706.66,2.37,0.66,3.1,172.6,307.9,0.02,102.05,17.31,1.73,18.81,620.18,47.46,79.98,185.34,1.31,1264.03,0.95,448.96,36.44,715.42,0,2.04,92.27,65.03,11.67,86.66,97.04,153.14,290.25,19.82,66.41,154.55,10.39,0,265.36,11.62,0.16,374.89,98.42,28.67,58.59,6.45,125.71,387.01,29.04,112.94,65.45,59.74,92.42,409.23,1273.85,15.45,3.57,33.38,125.53,116.65,193.07,1.42,0.61,114.03,42.18,0.02,27.06,0.25,121.46,564.03,707.42,24.71,0,16.45,0.97,46.29,16.06,34.1,535.18,16.35,36.63,4.43,1.48,4.68,11.5,10.7,0.05,397.92,135.81,1.57,7.68,3.5,7.66,92.73,74.08,276.69,180.07
